sub_id,cond_id,block_id,task_id,event_id,stim_id,speaker_id,led_id,led_distance,response_time,n_reps,isi
05, 1, 5, 2, 1, uso_300ms_22.wav, 5, 442.60381100000006, 12.85, nan, 90, 2
05, 1, 5, 2, 2, uso_300ms_51.wav, 5, 442.60381100000006, 12.85, nan, 90, 2
05, 1, 5, 2, 3, uso_300ms_40.wav, 5, 396.350219, 11.31, nan, 90, 2
05, 1, 5, 2, 4, uso_300ms_46.wav, 5, 396.350219, 11.31, nan, 90, 2
05, 1, 5, 2, 5, uso_300ms_91.wav, 5, 313.2136689999999, 8.54, nan, 90, 2
05, 1, 5, 2, 6, uso_300ms_68.wav, 5, 255.05764099999976, 6.6, nan, 90, 2
05, 1, 5, 2, 7, uso_300ms_37.wav, 4, 227.37968999999973, 5.68, nan, 90, 2
05, 1, 5, 2, 8, uso_300ms_51.wav, 4, 227.37968999999973, 5.68, nan, 90, 2
05, 1, 5, 2, 9, uso_300ms_6.wav, 4, 227.37968999999973, 5.68, nan, 90, 2
05, 1, 5, 2, 10, uso_300ms_28.wav, 4, 227.37968999999973, 5.68, nan, 90, 2
05, 1, 5, 2, 11, uso_300ms_50.wav, 4, 227.37968999999973, 5.68, nan, 90, 2
05, 1, 5, 2, 12, uso_300ms_3.wav, 4, 227.37968999999973, 5.68, nan, 90, 2
05, 1, 5, 2, 13, uso_300ms_45.wav, 4, 227.37968999999973, 5.68, nan, 90, 2
05, 1, 5, 2, 14, uso_300ms_15.wav, 5, 295.27140899999966, 7.94, nan, 90, 2
05, 1, 5, 2, 15, uso_300ms_40.wav, 5, 295.27140899999966, 7.94, nan, 90, 2
05, 1, 5, 2, 16, uso_300ms_68.wav, 5, 295.27140899999966, 7.94, nan, 90, 2
05, 1, 5, 2, 17, uso_300ms_24.wav, 5, 295.27140899999966, 7.94, nan, 90, 2
05, 1, 5, 2, 18, uso_300ms_29.wav, 5, 295.27140899999966, 7.94, nan, 90, 2
05, 1, 5, 2, 19, uso_300ms_66.wav, 5, 295.27140899999966, 7.94, nan, 90, 2
05, 1, 5, 2, 20, uso_300ms_18.wav, 4, 241.9176119999997, 6.16, nan, 90, 2
05, 1, 5, 2, 21, uso_300ms_6.wav, 4, 241.9176119999997, 6.16, nan, 90, 2
05, 1, 5, 2, 22, uso_300ms_50.wav, 2, 175.9709829999997, 3.97, nan, 90, 2
05, 1, 5, 2, 23, uso_300ms_20.wav, 2, 175.9709829999997, 3.97, nan, 90, 2
05, 1, 5, 2, 24, uso_300ms_59.wav, 1, 110.80987999999974, 1.79, nan, 90, 2
