sub_id,cond_id,block_id,task_id,event_id,stim_id,speaker_id,response,response_time,n_reps,isi,stim_duration
0,1,3,1,1,uso_300ms_87.wav,3,5.448680351906159,,10,2.0,
0,1,3,1,2,uso_300ms_87.wav,4,6.43108504398827,,10,2.0,
0,1,3,1,3,uso_300ms_19.wav,6,7.589442815249267,,10,2.0,
0,1,3,1,4,uso_300ms_15.wav,7,9.129032258064516,,10,2.0,
0,1,3,1,5,uso_300ms_35.wav,9,10.727272727272728,,10,2.0,
0,1,3,1,6,uso_300ms_11.wav,10,12.692082111436951,,10,2.0,
0,1,3,1,7,uso_300ms_103.wav,2,3.6158357771261,,10,2.0,
0,1,3,1,8,uso_300ms_87.wav,0,1.7536656891495603,,10,2.0,
0,1,3,1,9,uso_300ms_27.wav,0,0.3900293255131966,,10,2.0,
0,1,3,1,10,uso_300ms_75.wav,1,3.0879765395894427,,10,2.0,
0,1,3,1,1,uso_300ms_65.wav,1,3.3665689149560123,,10,2.0,0.025
0,1,3,1,2,uso_300ms_37.wav,1,2.868035190615836,,10,2.0,0.025
0,1,3,1,3,uso_300ms_78.wav,0,1.988269794721408,,10,2.0,0.1
0,1,3,1,4,uso_300ms_49.wav,0,1.9736070381231672,,10,2.0,0.025
0,1,3,1,5,uso_300ms_72.wav,0,1.9736070381231672,,10,2.0,0.3
0,1,3,1,6,uso_300ms_3.wav,0,1.9736070381231672,,10,2.0,0.1
0,1,3,1,7,uso_300ms_83.wav,0,1.9736070381231672,,10,2.0,0.025
0,1,3,1,8,uso_300ms_50.wav,0,1.988269794721408,,10,2.0,0.3
0,1,3,1,9,uso_300ms_38.wav,0,1.988269794721408,,10,2.0,0.1
0,1,3,1,10,uso_300ms_44.wav,0,1.9736070381231672,,10,2.0,0.025
0,1,3,1,1,uso_300ms_89.wav,1,3.3372434017595314,,10,2.0,0.025
0,1,3,1,2,uso_300ms_50.wav,7,8.87976539589443,,10,2.0,0.1
0,1,3,1,3,uso_300ms_12.wav,10,11.914956011730206,,10,2.0,0.3
0,1,3,1,4,uso_300ms_7.wav,10,11.621700879765395,,10,2.0,0.3
0,1,3,1,5,uso_300ms_97.wav,8,9.656891495601174,,10,2.0,0.025
0,1,3,1,6,uso_300ms_58.wav,5,7.266862170087977,,10,2.0,0.1
0,1,3,1,7,uso_300ms_91.wav,7,8.615835777126101,,10,2.0,0.025
0,1,3,1,8,uso_300ms_14.wav,2,3.865102639296188,,10,2.0,0.025
0,1,3,1,9,uso_300ms_42.wav,0,2.3695014662756604,,10,2.0,0.1
0,1,3,1,10,uso_300ms_8.wav,9,11.343108504398828,,10,2.0,0.3
0,1,3,1,1,uso_300ms_96.wav,0,1.8123167155425224,,10,2.0,0.1
0,1,3,1,2,uso_300ms_35.wav,0,2.3108504398826986,,10,2.0,0.025
