event_id,sub_id,block_id,task_id,stim_id,speaker_id,response,response_time,training_duration,isi,normalization_method
1,2,3,1,uso_300ms_47.wav,0,1,1.0,20,2,normalization_method
2,2,3,1,uso_300ms_19.wav,2,3,1.0,20,2,normalization_method
3,2,3,1,uso_300ms_19.wav,0,-1,1.0,20,2,normalization_method
4,2,3,1,uso_300ms_91.wav,0,-1,1.0,20,2,normalization_method
5,2,3,1,uso_300ms_75.wav,8,9,1.0,20,2,normalization_method
6,2,3,1,uso_300ms_119.wav,0,1,1.0,20,2,normalization_method
7,2,3,1,uso_300ms_103.wav,0,-1,1.0,20,2,normalization_method
8,2,3,1,uso_300ms_63.wav,3,4,1.0,20,2,normalization_method
9,2,3,1,uso_300ms_7.wav,0,-1,1.0,20,2,normalization_method
10,2,3,1,uso_300ms_11.wav,8,9,1.0,20,2,normalization_method
1,2,3,1,uso_300ms_35.wav,10,12,1.0,10,2,normalization_method
2,2,3,1,uso_300ms_71.wav,0,0,1.0,10,2,normalization_method
3,2,3,1,uso_300ms_3.wav,0,-1,1.0,10,2,normalization_method
4,2,3,1,uso_300ms_23.wav,0,-1,1.0,10,2,normalization_method
5,2,3,1,uso_300ms_83.wav,0,-1,1.0,10,2,normalization_method
1,2,3,1,uso_300ms_31.wav,0,-1,1.0,30,2,normalization_method
2,2,3,1,uso_300ms_87.wav,0,0,1.0,30,2,normalization_method
3,2,3,1,uso_300ms_115.wav,0,-1,1.0,30,2,normalization_method
4,2,3,1,uso_300ms_115.wav,0,-1,1.0,30,2,normalization_method
5,2,3,1,uso_300ms_23.wav,0,-1,1.0,30,2,normalization_method
6,2,3,1,uso_300ms_119.wav,0,-1,1.0,30,2,normalization_method
7,2,3,1,uso_300ms_119.wav,3,5,1.0,30,2,normalization_method
8,2,3,1,uso_300ms_11.wav,4,6,1.0,30,2,normalization_method
9,2,3,1,uso_300ms_95.wav,0,-1,1.0,30,2,normalization_method
10,2,3,1,uso_300ms_79.wav,0,-1,1.0,30,2,normalization_method
11,2,3,1,uso_300ms_99.wav,7,8,1.0,30,2,normalization_method
12,2,3,1,uso_300ms_51.wav,0,-1,1.0,30,2,normalization_method
13,2,3,1,uso_300ms_43.wav,9,10,1.0,30,2,normalization_method
14,2,3,1,uso_300ms_79.wav,0,-1,1.0,30,2,normalization_method
15,2,3,1,uso_300ms_107.wav,0,-1,1.0,30,2,normalization_method
1,2,3,1,uso_300ms_27.wav,4,5,1.0,30,2,normalization_method
2,2,3,1,uso_300ms_51.wav,0,-1,1.0,30,2,normalization_method
3,2,3,1,uso_300ms_59.wav,0,-1,1.0,30,2,normalization_method
4,2,3,1,uso_300ms_39.wav,0,0,1.0,30,2,normalization_method
5,2,3,1,uso_300ms_95.wav,2,4,1.0,30,2,normalization_method
6,2,3,1,uso_300ms_35.wav,3,5,1.0,30,2,normalization_method
7,2,3,1,uso_300ms_59.wav,4,6,1.0,30,2,normalization_method
8,2,3,1,uso_300ms_11.wav,5,6,1.0,30,2,normalization_method
9,2,3,1,uso_300ms_47.wav,0,0,1.0,30,2,normalization_method
10,2,3,1,uso_300ms_35.wav,0,-1,1.0,30,2,normalization_method
11,2,3,1,uso_300ms_35.wav,0,-1,1.0,30,2,normalization_method
12,2,3,1,uso_300ms_39.wav,9,10,1.0,30,2,normalization_method
13,2,3,1,uso_300ms_67.wav,0,-1,1.0,30,2,normalization_method
14,2,3,1,uso_300ms_71.wav,0,-1,1.0,30,2,normalization_method
15,2,3,1,uso_300ms_47.wav,0,-1,1.0,30,2,normalization_method
1,2,3,1,uso_300ms_11.wav,0,0,1.0,30,2,normalization_method
2,2,3,1,uso_300ms_71.wav,0,1,1.0,30,2,normalization_method
3,2,3,1,uso_300ms_119.wav,0,2,1.0,30,2,normalization_method
4,2,3,1,uso_300ms_79.wav,1,3,1.0,30,2,normalization_method
5,2,3,1,uso_300ms_99.wav,2,4,1.0,30,2,normalization_method
6,2,3,1,uso_300ms_107.wav,3,5,1.0,30,2,normalization_method
7,2,3,1,uso_300ms_51.wav,4,6,1.0,30,2,normalization_method
8,2,3,1,uso_300ms_39.wav,5,7,1.0,30,2,normalization_method
9,2,3,1,uso_300ms_95.wav,6,8,1.0,30,2,normalization_method
10,2,3,1,uso_300ms_119.wav,7,9,1.0,30,2,normalization_method
11,2,3,1,uso_300ms_59.wav,8,10,1.0,30,2,normalization_method
12,2,3,1,uso_300ms_7.wav,9,11,1.0,30,2,normalization_method
13,2,3,1,uso_300ms_7.wav,10,12,1.0,30,2,normalization_method
14,2,3,1,uso_300ms_31.wav,10,13,1.0,30,2,normalization_method
15,2,3,1,uso_300ms_99.wav,10,14,1.0,30,2,normalization_method
