event_id,sub_id,block_id,task_id,stim_id,speaker_id,response,response_time,n_reps,isi
1,-2,1,2,uso_300ms_47.wav,1,2,5.9375388622283936,2,0
2,-2,1,2,uso_300ms_59.wav,5,6,1.87500524520874,2,0
3,-2,1,2,uso_300ms_23.wav,3,4,1.4375035762786863,2,0
4,-2,1,2,uso_300ms_75.wav,4,5,1.3125028610229492,2,0
5,-2,1,2,uso_300ms_91.wav,2,3,1.250002145767212,2,0
6,-2,1,2,uso_300ms_19.wav,6,6,1.3125042915344238,2,0
7,-2,1,2,uso_300ms_47.wav,2,3,1.437568187713623,2,0
8,-2,1,2,uso_300ms_47.wav,6,8,2.062513828277588,2,0
9,-2,1,2,uso_300ms_15.wav,1,2,1.6875035762786863,2,0
10,-2,1,2,uso_300ms_7.wav,3,4,1.25000262260437,2,0
11,-2,1,2,uso_300ms_27.wav,5,7,1.624999761581421,2,0
12,-2,1,2,uso_300ms_35.wav,4,4,1.687504529953003,2,0
