cond_id,sub_id,block_id,task_id,event_id,stim_id,speaker_id,response,response_time,n_reps,isi
1,0,1,1,1,uso_300ms_87.wav,2,6.328445747800586,23.24836087226868,1,0.3
1,0,1,1,2,uso_300ms_115.wav,7,4.2316715542522,5.187191009521484,1,0.3
1,0,1,1,3,uso_300ms_67.wav,1,3.674486803519062,29.560407876968384,1,0.3
1,0,1,1,4,uso_300ms_115.wav,9,7.604105571847509,4.187216520309448,1,0.3
1,0,1,1,5,uso_300ms_7.wav,8,5.0527859237536665,3.5622477531433105,1,0.3
1,0,1,1,6,uso_300ms_35.wav,3,3.659824046920821,2.3747658729553223,1,0.3
1,0,1,1,7,uso_300ms_55.wav,0,1.4604105571847508,11.112046241760254,1,0.3
1,0,1,1,8,uso_300ms_111.wav,5,4.891495601173021,2.06235408782959,1,0.3
1,0,1,1,9,uso_300ms_23.wav,4,3.5278592375366573,1.562389850616455,1,0.3
1,0,1,1,10,uso_300ms_51.wav,10,6.489736070381232,1.6873812675476074,1,0.3
1,0,1,1,11,uso_300ms_71.wav,6,4.715542521994135,1.4374427795410156,1,0.3
1,0,1,1,1,uso_300ms_115.wav,0,4.612903225806452,9.499326705932615,1,0.3
1,0,1,1,2,uso_300ms_119.wav,8,6.548387096774194,2.24984073638916,1,0.3
1,0,1,1,3,uso_300ms_3.wav,5,3.4692082111436955,1.8748672008514404,1,0.3
1,0,1,1,4,uso_300ms_71.wav,10,4.994134897360704,1.312406301498413,1,0.3
1,0,1,1,5,uso_300ms_63.wav,4,4.832844574780059,1.2499120235443115,1,0.3
1,0,1,1,6,uso_300ms_51.wav,3,4.011730205278592,1.3124074935913086,1,0.3
1,0,1,1,7,uso_300ms_19.wav,7,5.49266862170088,1.3749020099639893,1,0.3
1,0,1,1,8,uso_300ms_51.wav,1,1.8269794721407624,1.812371730804444,1,0.3
1,0,1,1,9,uso_300ms_75.wav,9,4.451612903225807,1.4998939037322998,1,0.3
1,0,1,1,10,uso_300ms_35.wav,2,2.8826979472140764,1.374903678894043,1,0.3
1,0,1,1,11,uso_300ms_59.wav,6,4.348973607038124,1.8748669624328613,1,0.3
