event_id,sub_id,block_id,task_id,stim_id,speaker_id,response,response_time,training_duration,isi,normalization_method
1,1,3,1,uso_300ms_83.wav,0,1,1.0,20,2,normalization_method
2,1,3,1,uso_300ms_63.wav,0,-1,1.0,20,2,normalization_method
3,1,3,1,uso_300ms_87.wav,6,7,1.0,20,2,normalization_method
4,1,3,1,uso_300ms_11.wav,8,10,1.0,20,2,normalization_method
5,1,3,1,uso_300ms_7.wav,0,-1,1.0,20,2,normalization_method
6,1,3,1,uso_300ms_83.wav,0,-1,1.0,20,2,normalization_method
7,1,3,1,uso_300ms_107.wav,0,-1,1.0,20,2,normalization_method
8,1,3,1,uso_300ms_7.wav,10,11,1.0,20,2,normalization_method
9,1,3,1,uso_300ms_35.wav,8,9,1.0,20,2,normalization_method
10,1,3,1,uso_300ms_19.wav,5,6,1.0,20,2,normalization_method
