event_id,sub_id,block_id,task_id,stim_id,speaker_id,response,response_time,training_duration,isi,normalization_method
1,0,3,1,uso_300ms_63.wav,1,3,1.0,90,2,normalization_method
2,0,3,1,uso_300ms_19.wav,2,4,1.0,90,2,normalization_method
3,0,3,1,uso_300ms_67.wav,8,10,1.0,90,2,normalization_method
4,0,3,1,uso_300ms_59.wav,1,3,1.0,90,2,normalization_method
5,0,3,1,uso_300ms_71.wav,2,4,1.0,90,2,normalization_method
6,0,3,1,uso_300ms_67.wav,9,10,1.0,90,2,normalization_method
7,0,3,1,uso_300ms_71.wav,0,1,1.0,90,2,normalization_method
8,0,3,1,uso_300ms_15.wav,3,4,1.0,90,2,normalization_method
9,0,3,1,uso_300ms_95.wav,0,-1,1.0,90,2,normalization_method
10,0,3,1,uso_300ms_107.wav,0,1,1.0,90,2,normalization_method
11,0,3,1,uso_300ms_71.wav,4,5,1.0,90,2,normalization_method
12,0,3,1,uso_300ms_103.wav,0,-1,1.0,90,2,normalization_method
13,0,3,1,uso_300ms_119.wav,0,-1,1.0,90,2,normalization_method
14,0,3,1,uso_300ms_15.wav,0,0,1.0,90,2,normalization_method
15,0,3,1,uso_300ms_47.wav,4,5,1.0,90,2,normalization_method
16,0,3,1,uso_300ms_59.wav,10,12,1.0,90,2,normalization_method
17,0,3,1,uso_300ms_111.wav,10,13,1.0,90,2,normalization_method
18,0,3,1,uso_300ms_119.wav,10,13,1.0,90,2,normalization_method
19,0,3,1,uso_300ms_43.wav,3,5,1.0,90,2,normalization_method
20,0,3,1,uso_300ms_27.wav,0,-1,1.0,90,2,normalization_method
21,0,3,1,uso_300ms_23.wav,0,1,1.0,90,2,normalization_method
22,0,3,1,uso_300ms_3.wav,1,2,1.0,90,2,normalization_method
23,0,3,1,uso_300ms_7.wav,0,-1,1.0,90,2,normalization_method
24,0,3,1,uso_300ms_51.wav,0,-1,1.0,90,2,normalization_method
25,0,3,1,uso_300ms_71.wav,6,8,1.0,90,2,normalization_method
26,0,3,1,uso_300ms_95.wav,9,10,1.0,90,2,normalization_method
27,0,3,1,uso_300ms_87.wav,0,-1,1.0,90,2,normalization_method
28,0,3,1,uso_300ms_83.wav,0,-1,1.0,90,2,normalization_method
29,0,3,1,uso_300ms_59.wav,10,13,1.0,90,2,normalization_method
30,0,3,1,uso_300ms_51.wav,0,-1,1.0,90,2,normalization_method
31,0,3,1,uso_300ms_51.wav,0,-1,1.0,90,2,normalization_method
32,0,3,1,uso_300ms_19.wav,1,3,1.0,90,2,normalization_method
33,0,3,1,uso_300ms_71.wav,0,-1,1.0,90,2,normalization_method
34,0,3,1,uso_300ms_43.wav,0,-1,1.0,90,2,normalization_method
35,0,3,1,uso_300ms_39.wav,9,10,1.0,90,2,normalization_method
36,0,3,1,uso_300ms_83.wav,10,12,1.0,90,2,normalization_method
37,0,3,1,uso_300ms_67.wav,0,-1,1.0,90,2,normalization_method
38,0,3,1,uso_300ms_99.wav,0,-1,1.0,90,2,normalization_method
39,0,3,1,uso_300ms_59.wav,0,-1,1.0,90,2,normalization_method
40,0,3,1,uso_300ms_83.wav,6,7,1.0,90,2,normalization_method
41,0,3,1,uso_300ms_75.wav,4,5,1.0,90,2,normalization_method
42,0,3,1,uso_300ms_27.wav,2,4,1.0,90,2,normalization_method
43,0,3,1,uso_300ms_99.wav,1,3,1.0,90,2,normalization_method
44,0,3,1,uso_300ms_99.wav,0,-1,1.0,90,2,normalization_method
45,0,3,1,uso_300ms_107.wav,0,-1,1.0,90,2,normalization_method
1,0,3,1,uso_300ms_47.wav,0,2,1.0,30,2,normalization_method
2,0,3,1,uso_300ms_23.wav,2,3,1.0,30,2,normalization_method
3,0,3,1,uso_300ms_3.wav,4,5,1.0,30,2,normalization_method
4,0,3,1,uso_300ms_55.wav,5,6,1.0,30,2,normalization_method
5,0,3,1,uso_300ms_39.wav,6,7,1.0,30,2,normalization_method
6,0,3,1,uso_300ms_67.wav,7,8,1.0,30,2,normalization_method
7,0,3,1,uso_300ms_19.wav,8,9,1.0,30,2,normalization_method
8,0,3,1,uso_300ms_35.wav,9,10,1.0,30,2,normalization_method
9,0,3,1,uso_300ms_51.wav,10,11,1.0,30,2,normalization_method
10,0,3,1,uso_300ms_99.wav,10,11,1.0,30,2,normalization_method
11,0,3,1,uso_300ms_103.wav,10,12,1.0,30,2,normalization_method
12,0,3,1,uso_300ms_107.wav,10,13,1.0,30,2,normalization_method
13,0,3,1,uso_300ms_75.wav,7,9,1.0,30,2,normalization_method
14,0,3,1,uso_300ms_99.wav,0,0,1.0,30,2,normalization_method
15,0,3,1,uso_300ms_23.wav,7,8,1.0,30,2,normalization_method
