cond_id,sub_id,block_id,task_id,event_id,stim_id,speaker_id,response,response_time,n_reps,isi
2,1,1,2,1,uso_300ms_119.wav,4,6.70967741935484,15.688867568969728,15,0.3
2,1,1,2,2,uso_300ms_91.wav,5,3.953079178885631,1.4998316764831543,15,0.3
2,1,1,2,3,uso_300ms_11.wav,1,2.3988269794721413,1.1847569942474363,15,0.3
2,1,1,2,4,uso_300ms_15.wav,3,4.671554252199414,2.312242269515991,15,0.3
2,1,1,2,5,uso_300ms_75.wav,6,7.750733137829913,2.750762224197388,15,0.3
2,1,1,2,6,uso_300ms_7.wav,2,5.917888563049853,1.5623250007629397,15,0.3
2,1,1,2,7,uso_300ms_91.wav,6,7.061583577712611,1.4369752407073977,15,0.3
2,1,1,2,8,uso_300ms_79.wav,4,4.730205278592376,1.2498602867126465,15,0.3
2,1,1,2,9,uso_300ms_71.wav,1,2.618768328445748,1.0623838901519775,15,0.3
2,1,1,2,10,uso_300ms_7.wav,5,5.668621700879766,1.2512376308441162,15,0.3
2,1,1,2,11,uso_300ms_55.wav,2,4.55425219941349,1.0623810291290283,15,0.3
2,1,1,2,12,uso_300ms_43.wav,3,3.586510263929619,1.3749055862426758,15,0.3
2,1,1,2,13,uso_300ms_15.wav,1,2.8533724340175954,1.3186907768249512,15,0.3
2,1,1,2,14,uso_300ms_3.wav,4,5.653958944281525,1.3123533725738523,15,0.3
2,1,1,2,15,uso_300ms_31.wav,2,4.319648093841643,1.249868392944336,15,0.3
2,1,1,2,16,uso_300ms_95.wav,5,7.0469208211143695,1.6258876323699951,15,0.3
2,1,1,2,17,uso_300ms_31.wav,3,5.844574780058651,1.3123540878295898,15,0.3
2,1,1,2,18,uso_300ms_107.wav,6,5.008797653958944,1.0623815059661863,15,0.3
2,1,1,2,19,uso_300ms_71.wav,1,3.659824046920821,1.1184206008911133,15,0.3
2,1,1,2,20,uso_300ms_39.wav,3,5.082111436950147,1.1248748302459717,15,0.3
2,1,1,2,21,uso_300ms_55.wav,5,7.208211143695015,1.3748488426208496,15,0.3
2,1,1,2,22,uso_300ms_67.wav,6,5.976539589442815,1.3719511032104492,15,0.3
2,1,1,2,23,uso_300ms_71.wav,4,4.407624633431086,1.3123536109924316,15,0.3
2,1,1,2,24,uso_300ms_3.wav,2,3.3665689149560123,1.3755292892456057,15,0.3
