,subject_ID,block,spk_dist,channel,slider_val,slider_ratio,slider_dist,response_time,USO_file_name,idx,phase,spk_dist_delta,slider_dist_delta,slider_min,slider_max,date_time_session,date_time_trial,signed_err,absolute_err,signed_err_2
5,sub_06,0,8.8,7,0.5449710488319397,0.5066040572620019,6.4290364084450236,3.956921339035034,uso_300ms_60.wav,5.0,0.0,-0.8399999999999999,-1.8718439319238591,0.8431169390678406,0.25459837913513184,1694792552.0,158.65183668136598,-2.370963591554977,2.370963591554977,5.621468352479276
6,sub_06,0,10.7,9,0.2542076110839844,1.0,12.0,3.7835464477539062,uso_300ms_78.wav,6.0,0.0,1.8999999999999986,5.5709635915549764,0.8431169390678406,0.25459837913513184,1694792552.0,162.7353831291199,1.3000000000000007,1.3000000000000007,1.690000000000002
7,sub_06,0,2.1,0,0.8459353446960449,0.0,2.0,2.313704013824463,uso_300ms_59.wav,7.0,0.0,-8.7,-10.0,0.8431169390678406,0.25459837913513184,1694792552.0,165.34908714294437,-0.10000000000000009,0.10000000000000009,0.010000000000000018
8,sub_06,0,5.67,4,0.6631317138671875,0.3058276109783735,4.5286350995912805,2.9845635890960693,uso_300ms_93.wav,8.0,0.0,3.67,2.5286350995912805,0.8431169390678406,0.25459837913513184,1694792552.0,168.63365073204045,-1.1413649004087194,1.1413649004087194,1.3027138358850059
9,sub_06,0,7.6,6,0.45319074392318726,0.6625554769066884,8.124621108264938,6.781566143035889,uso_300ms_82.wav,9.0,0.0,1.9299999999999997,3.5959860086736573,0.8431169390678406,0.25459837913513184,1694792552.0,175.71521687507635,0.5246211082649381,0.5246211082649381,0.27522730723713196
10,sub_06,0,4.74,3,0.6611520051956177,0.30919149583494665,4.557571620561161,3.015815258026123,uso_300ms_63.wav,10.0,0.0,-2.8599999999999994,-3.567049487703777,0.8431169390678406,0.25459837913513184,1694792552.0,179.03103213310249,-0.18242837943883927,0.18242837943883927,0.03328011362468111
11,sub_06,0,2.96,1,0.8453607559204102,0.0,2.0,2.0312275886535645,uso_300ms_75.wav,11.0,0.0,-1.7800000000000002,-2.557571620561161,0.8431169390678406,0.25459837913513184,1694792552.0,181.36225972175606,-0.96,0.96,0.9216
12,sub_06,0,11.78,10,0.3973025977611542,0.7575195952319003,9.192957085022298,3.1242613792419434,uso_300ms_77.wav,12.0,0.0,8.82,7.192957085022298,0.8431169390678406,0.25459837913513184,1694792552.0,184.78652110099802,-2.587042914977701,2.587042914977701,6.69279104393632
13,sub_06,0,3.84,2,0.5251629948616028,0.540261541186726,6.778555280240544,4.547170877456665,uso_300ms_84.wav,13.0,0.0,-7.9399999999999995,-2.414401804781754,0.8431169390678406,0.25459837913513184,1694792552.0,189.6336919784547,2.9385552802405446,2.9385552802405446,8.635107135029585
14,sub_06,0,2.1,0,0.8455527424812317,0.0,2.0,2.4282286167144775,uso_300ms_58.wav,14.0,0.0,-1.8399999999999999,-4.778555280240544,0.8431169390678406,0.25459837913513184,1694792552.0,192.36192059516918,-0.10000000000000009,0.10000000000000009,0.010000000000000018
15,sub_06,0,3.84,2,0.6655771136283875,0.3016724323184523,4.493511201872645,1.8438918590545654,uso_300ms_52.wav,15.0,0.0,1.8399999999999999,2.4935112018726446,0.8431169390678406,0.25459837913513184,1694792552.0,194.50581245422376,0.6535112018726448,0.6535112018726448,0.4270768909730287
16,sub_06,0,5.67,4,0.5234814882278442,0.5431187265811013,6.808979013464778,2.2657663822174072,uso_300ms_91.wav,16.0,0.0,1.83,2.315467811592133,0.8431169390678406,0.25459837913513184,1694792552.0,197.07157883644118,1.1389790134647777,1.1389790134647777,1.2972731931131982
17,sub_06,0,10.7,9,0.38932791352272034,0.7710700331982844,9.350614798469316,1.8907370567321777,uso_300ms_95.wav,17.0,0.0,5.029999999999999,2.541635785004538,0.8431169390678406,0.25459837913513184,1694792552.0,199.26231589317337,-1.3493852015306835,1.3493852015306835,1.8208404221100034
18,sub_06,0,4.74,3,0.659629762172699,0.31177806340741665,4.579821569650392,6.937962532043457,uso_300ms_92.wav,18.0,0.0,-5.959999999999999,-4.770793228818924,0.8431169390678406,0.25459837913513184,1694792552.0,206.50027842521683,-0.16017843034960855,0.16017843034960855,0.025657129549264395
19,sub_06,0,2.96,1,0.8452014923095703,0.0,2.0,1.4220845699310303,uso_300ms_99.wav,19.0,0.0,-1.7800000000000002,-2.5798215696503917,0.8431169390678406,0.25459837913513184,1694792552.0,208.22236299514788,-0.96,0.96,0.9216
20,sub_06,0,7.6,6,0.5281285047531128,0.535222600882364,6.7248998976201015,2.4219701290130615,uso_300ms_87.wav,20.0,0.0,4.64,4.7248998976201015,0.8431169390678406,0.25459837913513184,1694792552.0,210.94433312416095,-0.8751001023798981,0.8751001023798981,0.7658001891853081
21,sub_06,0,8.8,7,0.3898670971393585,0.770153862233855,9.339955259660547,1.9622220993041992,uso_300ms_54.wav,21.0,0.0,1.200000000000001,2.6150553620404455,0.8431169390678406,0.25459837913513184,1694792552.0,213.20655522346516,0.5399552596605464,0.5399552596605464,0.29155168243508806
22,sub_06,0,11.78,10,0.253878116607666,1.0,12.0,2.953315019607544,uso_300ms_57.wav,22.0,0.0,2.9799999999999986,2.660044740339453,0.8431169390678406,0.25459837913513184,1694792552.0,216.45987024307271,0.22000000000000064,0.22000000000000064,0.04840000000000028
